"city","year","sport","discipline","athlete","noc","gender","event","event_gender","medal","ioc","country"
"Beijing",2008,"Taekwondo","Taekwondo","NIKPAI, Rohullah","AFG","Men","- 58 kg","M","Bronze","AFG","Afghanistan"
"Seoul",1988,"Sailing","Sailing","BOERSMA, Jan D.","AHO","Men","board (division II)","M","Silver","AHO","Bonaire, Sint Eustatius and Saba"
"Los Angeles",1984,"Boxing","Boxing","ZAOUI, Mohamed","ALG","Men","71-75kg","M","Bronze","ALG","Algeria"
"Los Angeles",1984,"Boxing","Boxing","MOUSSA, Mustapha","ALG","Men","75 - 81kg (light-heavyweight)","M","Bronze","ALG","Algeria"
"Barcelona",1992,"Athletics","Athletics","BOULMERKA, Hassiba","ALG","Women","1500m","W","Gold","ALG","Algeria"
"Barcelona",1992,"Boxing","Boxing","SOLTANI, Hocine","ALG","Men","54 - 57kg (featherweight)","M","Bronze","ALG","Algeria"
"Atlanta",1996,"Athletics","Athletics","MORCELI, Nourredine","ALG","Men","1500m","M","Gold","ALG","Algeria"
"Atlanta",1996,"Boxing","Boxing","SOLTANI, Hocine","ALG","Men","57 - 60kg (lightweight)","M","Gold","ALG","Algeria"
"Atlanta",1996,"Boxing","Boxing","BAHARI, Mohamed","ALG","Men","71-75kg","M","Bronze","ALG","Algeria"
"Sydney",2000,"Athletics","Athletics","MERAH-BENIDA, Nouria","ALG","Women","1500m","W","Gold","ALG","Algeria"
"Sydney",2000,"Athletics","Athletics","SAIDI-SIEF, Ali","ALG","Men","5000m","M","Silver","ALG","Algeria"
"Sydney",2000,"Athletics","Athletics","SAID GUERNI, Djabir","ALG","Men","800m","M","Bronze","ALG","Algeria"
"Sydney",2000,"Athletics","Athletics","HAMMAD, Abderrahmane","ALG","Men","high jump","M","Bronze","ALG","Algeria"
"Sydney",2000,"Boxing","Boxing","ALLALOU, Mohamed","ALG","Men","60 - 63.5kg (light-welterweight)","M","Bronze","ALG","Algeria"
"Beijing",2008,"Judo","Judo","HADDAD, Soraya","ALG","Women","48 - 52kg (half-lightweight)","W","Bronze","ALG","Algeria"
"Beijing",2008,"Judo","Judo","BENIKHLEF, Amar","ALG","Men","81 - 90kg (middleweight)","M","Silver","ALG","Algeria"
"London",1908,"Aquatics","Swimming","BEAUREPAIRE, Frank E.","ANZ","Men","1500m freestyle","M","Bronze","ANZ","Australasia"
"London",1908,"Aquatics","Swimming","BEAUREPAIRE, Frank E.","ANZ","Men","400m freestyle","M","Silver","ANZ","Australasia"
"London",1908,"Athletics","Athletics","KERR, Harry E.","ANZ","Men","3500m walk","M","Bronze","ANZ","Australasia"
"London",1908,"Boxing","Boxing","BAKER, Reginald L.","ANZ","Men","63.5 - 71.67kg (middleweight)","M","Silver","ANZ","Australasia"
"London",1908,"Rugby","Rugby","BARNETT, Jumbo","ANZ","Men","rugby","M","Gold","ANZ","Australasia"
"London",1908,"Rugby","Rugby","BEDE-SMITH, Frank","ANZ","Men","rugby","M","Gold","ANZ","Australasia"
"London",1908,"Rugby","Rugby","CARMICHAEL, Philipp","ANZ","Men","rugby","M","Gold","ANZ","Australasia"
"London",1908,"Rugby","Rugby","CARROLL, Daniel Brendan","ANZ","Men","rugby","M","Gold","ANZ","Australasia"
"London",1908,"Rugby","Rugby","CRAIG, Robert R.","ANZ","Men","rugby","M","Gold","ANZ","Australasia"
"London",1908,"Rugby","Rugby","GRIFFEN, Thomas","ANZ","Men","rugby","M","Gold","ANZ","Australasia"
"London",1908,"Rugby","Rugby","HICKEY, John","ANZ","Men","rugby","M","Gold","ANZ","Australasia"
"London",1908,"Rugby","Rugby","MCARTHUR, Emmanuel","ANZ","Men","rugby","M","Gold","ANZ","Australasia"
"London",1908,"Rugby","Rugby","MCCABE, Arthur J.","ANZ","Men","rugby","M","Gold","ANZ","Australasia"
"London",1908,"Rugby","Rugby","MCCUE, Patrick","ANZ","Men","rugby","M","Gold","ANZ","Australasia"
"London",1908,"Rugby","Rugby","MCKIVATT, Christopher","ANZ","Men","rugby","M","Gold","ANZ","Australasia"
"London",1908,"Rugby","Rugby","MCMURTRIE, Charles","ANZ","Men","rugby","M","Gold","ANZ","Australasia"
"London",1908,"Rugby","Rugby","MIDDLETON, Albert Sidney","ANZ","Men","rugby","M","Gold","ANZ","Australasia"
"London",1908,"Rugby","Rugby","RICHARDS, Thomas","ANZ","Men","rugby","M","Gold","ANZ","Australasia"
"London",1908,"Rugby","Rugby","RUSSELL, Charles","ANZ","Men","rugby","M","Gold","ANZ","Australasia"
"Stockholm",1912,"Aquatics","Swimming","HEALY, Cecil","ANZ","Men","100m freestyle","M","Silver","ANZ","Australasia"
"Stockholm",1912,"Aquatics","Swimming","DURACK, Fanny","ANZ","Women","100m freestyle","W","Gold","ANZ","Australasia"
"Stockholm",1912,"Aquatics","Swimming","WYLIE, Wilhelmina","ANZ","Women","100m freestyle","W","Silver","ANZ","Australasia"
"Stockholm",1912,"Aquatics","Swimming","HARDWICK, Harold H.","ANZ","Men","1500m freestyle","M","Bronze","ANZ","Australasia"
"Stockholm",1912,"Aquatics","Swimming","HARDWICK, Harold H.","ANZ","Men","400m freestyle","M","Bronze","ANZ","Australasia"
"Stockholm",1912,"Aquatics","Swimming","BOARDMAN, Leslie","ANZ","Men","4x200m freestyle relay","M","Gold","ANZ","Australasia"
"Stockholm",1912,"Aquatics","Swimming","CHAMPION, Malcolm","ANZ","Men","4x200m freestyle relay","M","Gold","ANZ","Australasia"
"Stockholm",1912,"Aquatics","Swimming","HARDWICK, Harold H.","ANZ","Men","4x200m freestyle relay","M","Gold","ANZ","Australasia"
"Stockholm",1912,"Aquatics","Swimming","HEALY, Cecil","ANZ","Men","4x200m freestyle relay","M","Gold","ANZ","Australasia"
"Stockholm",1912,"Tennis","Tennis","WILDING, Anthony Frederick","ANZ","Men","singles indoor","M","Bronze","ANZ","Australasia"
"Paris",1924,"Athletics","Athletics","BRUNETO, Luis","ARG","Men","triple jump","M","Silver","ARG","Argentina"
"Paris",1924,"Boxing","Boxing","PORZIO, Alfredo","ARG","Men","+ 79.38kg (heavyweight)","M","Bronze","ARG","Argentina"
"Paris",1924,"Boxing","Boxing","QUARTUCCI, Pedro","ARG","Men","53.52 - 57.15kg (featherweight)","M","Bronze","ARG","Argentina"
"Paris",1924,"Boxing","Boxing","COPELLO, Alfredo","ARG","Men","57.15 - 61.24kg (lightweight)","M","Silver","ARG","Argentina"
"Paris",1924,"Boxing","Boxing","MENDEZ, Hector","ARG","Men","61.24 - 66.68kg (welterweight)","M","Silver","ARG","Argentina"
"Paris",1924,"Polo","Polo","KENNY, Arturo","ARG","Men","polo","M","Gold","ARG","Argentina"
"Paris",1924,"Polo","Polo","MILES, Juan","ARG","Men","polo","M","Gold","ARG","Argentina"
"Paris",1924,"Polo","Polo","NAYLOR, Guillermo","ARG","Men","polo","M","Gold","ARG","Argentina"
"Paris",1924,"Polo","Polo","NELSON, Juan","ARG","Men","polo","M","Gold","ARG","Argentina"
"Paris",1924,"Polo","Polo","PADILLA, Enrique","ARG","Men","polo","M","Gold","ARG","Argentina"
"Paris",1924,"Polo","Polo","PENA, A.","ARG","Men","polo","M","Gold","ARG","Argentina"
"Amsterdam",1928,"Aquatics","Swimming","ZORRILLA, Victoriano","ARG","Men","400m freestyle","M","Gold","ARG","Argentina"
"Amsterdam",1928,"Boxing","Boxing","RODRIGUEZ JURADO, Arturo","ARG","Men","+ 79.38kg (heavyweight)","M","Gold","ARG","Argentina"
"Amsterdam",1928,"Boxing","Boxing","PERALTA, Victor","ARG","Men","53.52 - 57.15kg (featherweight)","M","Silver","ARG","Argentina"
"Amsterdam",1928,"Boxing","Boxing","LANDINI, Raul","ARG","Men","61.24 - 66.68kg (welterweight)","M","Silver","ARG","Argentina"
"Amsterdam",1928,"Boxing","Boxing","AVENDANO, Victor","ARG","Men","72.57 - 79.38kg (light-heavyweight)","M","Gold","ARG","Argentina"
"Amsterdam",1928,"Fencing","Fencing","ANGANUZZI, Raul","ARG","Men","foil team","M","Bronze","ARG","Argentina"
"Amsterdam",1928,"Fencing","Fencing","CAMET, Carmelo F.","ARG","Men","foil team","M","Bronze","ARG","Argentina"
"Amsterdam",1928,"Fencing","Fencing","LARRAZ, Roberto","ARG","Men","foil team","M","Bronze","ARG","Argentina"
"Amsterdam",1928,"Fencing","Fencing","LUCCHETTI, Hector Pablo","ARG","Men","foil team","M","Bronze","ARG","Argentina"
"Amsterdam",1928,"Fencing","Fencing","LUCCHETTI, Luis J.","ARG","Men","foil team","M","Bronze","ARG","Argentina"
"Amsterdam",1928,"Football","Football","BIDOGLIO, Ludovico","ARG","Men","football","M","Silver","ARG","Argentina"
"Amsterdam",1928,"Football","Football","BOSIO, Angel","ARG","Men","football","M","Silver","ARG","Argentina"
"Amsterdam",1928,"Football","Football","CALANDRA, Saul H.","ARG","Men","football","M","Silver","ARG","Argentina"
"Amsterdam",1928,"Football","Football","CARRICABERRY, Alfredo D.","ARG","Men","football","M","Silver","ARG","Argentina"
"Amsterdam",1928,"Football","Football","CHERRO, Roberto","ARG","Men","football","M","Silver","ARG","Argentina"
"Amsterdam",1928,"Football","Football","DIAZ, Octavio J.","ARG","Men","football","M","Silver","ARG","Argentina"
"Amsterdam",1928,"Football","Football","EVARISTO, J.","ARG","Men","football","M","Silver","ARG","Argentina"
"Amsterdam",1928,"Football","Football","FERREIRA, Manuel","ARG","Men","football","M","Silver","ARG","Argentina"
"Amsterdam",1928,"Football","Football","GAINZARAIN, Enrique","ARG","Men","football","M","Silver","ARG","Argentina"
"Amsterdam",1928,"Football","Football","GOMEZ, S. N.","ARG","Men","football","M","Silver","ARG","Argentina"
"Amsterdam",1928,"Football","Football","HELMAN, A.","ARG","Men","football","M","Silver","ARG","Argentina"
"Amsterdam",1928,"Football","Football","MEDICI, Angel Segundo","ARG","Men","football","M","Silver","ARG","Argentina"
"Amsterdam",1928,"Football","Football","MONTI, Luis Felipe","ARG","Men","football","M","Silver","ARG","Argentina"
"Amsterdam",1928,"Football","Football","OCHOA, P.","ARG","Men","football","M","Silver","ARG","Argentina"
"Amsterdam",1928,"Football","Football","ORLANDINI, Rodolfo","ARG","Men","football","M","Silver","ARG","Argentina"
"Amsterdam",1928,"Football","Football","ORSI, Raimundo B.","ARG","Men","football","M","Silver","ARG","Argentina"
"Amsterdam",1928,"Football","Football","PATERNOSTER, Fernando","ARG","Men","football","M","Silver","ARG","Argentina"
"Amsterdam",1928,"Football","Football","PERDUCCA, Feliciano Angel","ARG","Men","football","M","Silver","ARG","Argentina"
"Amsterdam",1928,"Football","Football","PERINETTI, N.","ARG","Men","football","M","Silver","ARG","Argentina"
"Amsterdam",1928,"Football","Football","TARASCONI, Domingo Alberto","ARG","Men","football","M","Silver","ARG","Argentina"
"Amsterdam",1928,"Football","Football","WEIHMULLER, L. F.","ARG","Men","football","M","Silver","ARG","Argentina"
"Amsterdam",1928,"Football","Football","ZUMELZU, A. B.","ARG","Men","football","M","Silver","ARG","Argentina"
"Los Angeles",1932,"Athletics","Athletics","ZABALA, Juan Carlos","ARG","Men","marathon","M","Gold","ARG","Argentina"
"Los Angeles",1932,"Boxing","Boxing","LOVELL, Alberto Santiago","ARG","Men","+ 79.38kg (heavyweight)","M","Gold","ARG","Argentina"
"Los Angeles",1932,"Boxing","Boxing","ROBLEDO, Carmelo Ambrosio","ARG","Men","54 - 57.15kg (featherweight)","M","Gold","ARG","Argentina"
"Los Angeles",1932,"Boxing","Boxing","AZAR, Amado","ARG","Men","66.68 - 72.57kg (middleweight)","M","Silver","ARG","Argentina"
"Berlin",1936,"Aquatics","Swimming","CAMPBELL, Jeanette Morven","ARG","Women","100m freestyle","W","Silver","ARG","Argentina"
"Berlin",1936,"Boxing","Boxing","LOVELL, Jose Guillermo","ARG","Men","+ 79.38kg (heavyweight)","M","Silver","ARG","Argentina"
"Berlin",1936,"Boxing","Boxing","CASANOVAS, Oscar","ARG","Men","54 - 57.15kg (featherweight)","M","Gold","ARG","Argentina"
"Berlin",1936,"Boxing","Boxing","VILLAREAL, Raul Vicente","ARG","Men","66.68 - 72.57kg (middleweight)","M","Bronze","ARG","Argentina"
"Berlin",1936,"Boxing","Boxing","RISIGLIONE, Francisco","ARG","Men","72.57 - 79.38kg (light-heavyweight)","M","Bronze","ARG","Argentina"
"Berlin",1936,"Polo","Polo","ANDRADA, Manuel","ARG","Men","polo","M","Gold","ARG","Argentina"
"Berlin",1936,"Polo","Polo","CAVANAGH, Roberto","ARG","Men","polo","M","Gold","ARG","Argentina"
"Berlin",1936,"Polo","Polo","DUGGAN, Luis J.","ARG","Men","polo","M","Gold","ARG","Argentina"
"Berlin",1936,"Polo","Polo","GAZZOTTI, Andres","ARG","Men","polo","M","Gold","ARG","Argentina"
"Berlin",1936,"Rowing","Rowing","CURATELLA, Julio Pedro","ARG","Men","coxless pair (2-)","M","Bronze","ARG","Argentina"
"Berlin",1936,"Rowing","Rowing","PODESTA, Horacio","ARG","Men","coxless pair (2-)","M","Bronze","ARG","Argentina"
