year,level_mm
1992.9595,-5.787
1992.9866,-7.468
1993.0138,-9.135
1993.0409,-11.700
1993.0681,-11.187
1993.0952,-9.466
1993.1223,-3.624
1993.1495,-2.403
1993.1766,-6.746
1993.2038,-5.768
1993.2309,-2.885
1993.2852,-2.039
1993.3124,-0.410
1993.3395,-5.422
1993.3667,-7.442
1993.3938,-6.460
1993.4210,-1.714
1993.4481,0.350
1993.4753,-1.537
1993.5024,-4.165
1993.5296,-4.825
1993.5839,-2.511
1993.6110,-2.372
1993.6382,-2.267
1993.6653,-6.209
1993.6925,-7.318
1993.7196,-6.342
1993.7468,-0.775
1993.7739,1.781
1993.8010,-1.924
1993.8553,-7.229
1993.8825,-4.620
1993.9096,-2.663
1993.9368,-0.786
1993.9639,1.497
1993.9911,-3.798
1994.0182,-5.821
1994.0454,-1.164
1994.0725,2.509
1994.0997,-1.072
1994.1268,-6.420
1994.1540,-10.575
1994.1811,-2.511
1994.2354,1.661
1994.2626,0.752
1994.2897,-1.142
1994.3169,-5.681
1994.3440,-4.503
1994.3712,-1.657
1994.3983,-3.665
1994.4255,-2.236
1994.4526,-3.344
1994.5069,-6.099
1994.5340,-1.252
1994.5612,0.439
1994.5883,-1.455
1994.6155,-7.592
1994.6426,-7.978
1994.6698,-8.129
1994.6969,-0.287
1994.7241,-0.751
1994.7512,-4.576
1994.7784,-5.308
1994.8055,-4.486
1994.8327,-5.659
1994.8870,-3.271
1994.9141,-10.240
1994.9413,-7.916
1994.9684,-5.093
1994.9956,-0.148
1995.0227,2.543
1995.0499,2.465
1995.0770,3.911
1995.1042,-3.280
1995.1313,-8.759
1995.1585,-1.315
1995.2128,5.359
1995.2399,-2.800
1995.2670,-4.406
1995.2942,-5.988
1995.3213,-1.287
1995.3756,-1.667
1995.4028,-1.044
1995.4299,-1.643
1995.4571,-3.860
1995.4842,-2.262
1995.5385,-0.276
1995.5657,-2.781
1995.5928,-6.206
1995.6200,-6.906
1995.6471,-4.562
1995.6743,0.606
1995.7014,1.831
1995.7286,2.089
1995.7557,-4.128
1995.7829,-5.610
1995.8372,-1.052
1995.8643,0.216
1995.8915,-0.955
1995.9458,-6.160
1995.9729,3.592
1996.0000,2.189
1996.0272,-1.818
1996.0543,-4.906
1996.0815,-6.874
1996.1086,-4.266
1996.1629,5.387
1996.1901,0.426
1996.2172,-0.129
1996.2444,-1.939
1996.2715,-2.895
1996.2987,1.332
1996.3258,4.516
1996.3530,2.748
1996.3801,-0.247
1996.4073,-0.735
1996.4344,0.971
1996.4887,7.491
1996.5159,4.815
1996.5430,3.014
1996.5702,1.489
1996.5973,1.990
1996.6245,1.862
